6 BC,Birth of John the Baptist,"Luke 1,
John 1:6"
6 BC,Augustus Taxes the Roman Empire,Luke 2
5 BC,Birth of Jesus,"Matthew 1,
Mark 1,
Luke 2:6,
John 1:14"
5 BC,Visit of the Magi,Matthew 2
5 BC,Escape to Egypt,Matthew 2:13
4 BC,Slaughter of Infants,Matthew 2:16
4 BC,Return to Nazareth,Matthew 2:23
8 AD,The Boy Jesus at the Temple,Luke 2:41
26 AD,John the Baptist Prepares the Way,"Matthew 3,
Mark 1:4,
Luke 3,
John 1:15"
26 AD,The Baptism of Jesus,"Matthew 3:13,
Mark 1:9,
Luke 3:21"
27 AD,Temptation of Jesus,"Matthew 4,
Mark 1:12,
Luke 4"
27 AD,Jesus Calls his First Disciples,"Matthew 4:18,
Mark 1:16,
Luke 5"
27 AD,Wedding at Cana,John 2
27 AD,Jesus Teaches Nicodemus,John 3
27 AD,Jesus Testifies to the Samaritan Woman,John 4
27 AD,Sermon on the Mount,Matthew 5 - 7
28 AD,Instructions on Prayer,Luke 11
28 AD,Jesus Ministers in Galilee,"Matthew 8,
Mark 2,
Luke 4:14"
28 AD,The Pool of Bethesda,John 5
28 AD,Jesus Lord of the Sabbath,"Matthew 12,
Mark 3,
Luke 6"
28 AD,Jesus Answers John's Disciples,"Matthew 11,
Luke 7"
28 AD,Jesus Speaks Many Parables,"Matthew 13,
Mark 4,
Luke 8"
28 AD,Jesus Heals a Demoniac,"Matthew 8:28,
Mark 5,
Luke 8:26"
28 AD,Jesus Heals a Paralytic,Matthew 9
29 AD,Jesus Sends out His Twelve Apostles,"Matthew 10,
Mark 6"
29 AD,John the Baptist Beheaded,"Matthew 14,
Mark 6:14"
29 AD,"Jesus Feeds the 5,000","Matthew 14:15,
Mark 6:30,
Luke 9,
John 6"
29 AD,Teachings on Clean and Unclean,"Matthew 15,
Mark 7"
29 AD,Peter's Confession of Christ,"Matthew 16,
Mark 8,
Luke 9:18"
29 AD,The Transfiguration,"Matthew 17,
Mark 9,
Luke 9:28"
29 AD,Greatest and Least in the Kingdom,Matthew 18
29 AD,Jesus Sends out the Seventy-two,Luke 10
29 AD,Jesus Teaches at the Feast of Tabernacles,John 7
29 AD,The Woman Caught in Adultery,John 8
29 AD,Jesus Affirms He is the Son of God,John 9
29 AD,The Shepherd and His Flock,John 10
30 AD,Jesus Speaks More Parables,Luke 12 - 16
30 AD,Jesus Cleanses the Ten Lepers,Luke 17
30 AD,Jesus Raises Lazarus,John 11
30 AD,Final Journey to Jerusalem,"Matthew 19, 20,
Mark 10,
Luke 18"
30 AD,The Triumphal Entry,"Matthew 21,
Mark 11,
Luke 19,
John 12"
30 AD,Closing Ministry in Jerusalem,"Matthew 22 - 25,
Mark 12, 13,
Luke 20, 21"
30 AD,Thursday Before Passover,"Matthew 26,
Mark 14,
Luke 22,
John 13"
30 AD,Jesus Comforts His Disciples,John 14
30 AD,Jesus the True Vine,John 15
30 AD,Jesus Promises the Holy Spirit,John 16
30 AD,Jesus' Intercessory prayers,John 17
30 AD,"Jesus' Betrayal, Trial, Crucifixion","Matthew 27,
Mark 15,
Luke 23,
John 18, 19"
30 AD,Jesus' Resurrection,"Matthew 28,
Mark 16,
Luke 24,
John 20, 21"
30 AD,The Ascension,Acts 1
30 AD,Matthias Chosen by Lot,Acts 1:12
30 AD,The Holy Spirit Comes at Pentecost,Acts 2
30 AD,Peter Heals and Preaches,Acts 3
30 AD,Peter and John Arrested and Released;,Acts 4
30 AD,Believers Share All,Acts 4:32
30 AD,Deaths of Ananias and Sapphira,Acts 5
30 AD,Apostles Preach and Heal,Acts 5:11
31 AD,"Stephen's Speech, Stoning and Death","Acts 6, 7"
31 AD,Saul Persecutes the Church,Acts 8
31 AD,Philip in Samaria,Acts 8:3
31 AD,Simon the Sorcerer,Acts 8:9
31 AD,Philip and the Ethiopian,Acts 8:26
34 AD,Saul's Conversion,Acts 9
37 AD,Peter Preaches to the Gentiles,"Acts 10, 11"
42 AD,Barnabas Sent to Antioch,Acts 11:22
42 AD,Peter Led from Prison by the Angel,Acts 12
44 AD,Herod Agrippa Dies,Acts 12:20
45 AD,James Writes his Letter,James 1 - 5
48 AD,Paul's First Missionary Journey,Acts 13
48 AD,Paul preaches in Pisidian Antioch,Acts 13:14
48 AD,Paul and Barnabas in Iconium,Acts 14
48 AD,Paul and Barnabas in Lystra and Derbe,Acts 14:8
48 AD,Paul and Barnabas Return to Syrian Antioch,Acts 14:21
48 AD,Return to Syrian Antioch,Acts 14:24
48 AD,The Council at Jerusalem,Acts 15
49 AD,Paul's Second Missionary Journey,Acts 15:36
49 AD,Paul in Philippi,Acts 16
49 AD,"Paul in Thessalonica, Berea, Athens",Acts 17
51 AD,Paul in Corinth,Acts 18
51 AD,Paul Writes to the Thessalonians,1 Thess. 1 - 5
52 AD,Paul Writes again to the Thessalonians,2 Thess. 1 - 3
54 AD,Paul in Ephesus,Acts 19
54 AD,Paul Writes to the Corinthians,1 Corinthians 1 - 16
54 AD,Paul Writes to the Galatians,Galatians 1 - 6
57 AD,Paul in Macedonia and Greece,Acts 20
57 AD,Paul Writes to the Romans,Romans 1 - 16
57 AD,Paul Writes again to the Corinthians,2 Corinthians 1 - 13
59 AD,Paul Returns to Jerusalem,Acts 21 - 23
60 AD,Paul imprisoned in Caesarea,Acts 24
62 AD,Paul Before Festus,Acts 25
62 AD,Paul Before Agrippa,Acts 26
62 AD,Paul Sails for Rome,Acts 27
62 AD,The Shipwreck,Acts 27:13
62 AD,Paul Ashore at Malta,Acts 28
62 AD,Paul Preaches at Rome,Acts 28:11
62 AD,Paul Writes to the Ephesians,Ephesians 1 - 6
62 AD,Paul Writes to the Philippians,Philippians 1 - 4
62 AD,Paul Writes to the Colossians,Colossians 1 - 4
62 AD,Paul Writes to Philemon,Philemon 1
63 AD,Paul Writes to Timothy,1 Timothy 1 - 6
64 AD,Peter Writes his First Letter,1 Peter 1 - 5
66 AD,Paul Writes to Titus,Titus 1 - 3
67 AD,Paul Writes Again to Timothy,2 Timothy 1 - 4
67 AD,Peter Writes his Second Letter,2 Peter 1 - 3
68 AD,Letter to the Hebrews,Hebrews 1 - 13
68 AD,Jude Writes his Letter,Jude 1
90 AD,John Writes his First Letter,1 John 1 - 5
92 AD,John Writes his Second Letter,2 John 1
94 AD,John Writes his Third Letter,3 John 1
95 AD,John's Revelation on Patmos,Revelation 1 - 22
